Code;Genus;Type
AST;Asterionella+Asterionellopsis+Asteroplanus;P
BID;Biddulphia+Trigonium;C
CER;Cerataulina;C
CHA;Chaetoceros;C
COS;Coscinodiscus+Stellarima;C
DAC;Dactyliosolen;C
DIT;Ditylum;C
EUC;Eucampia+Climacodium;C
GUI;Guinardia;C
LAU;Lauderia+Schroederella;C
LEP;Leptocylindrus;C
NAV;Navicula+Fallacia+Haslea+Lyrella+Petroneis;P
NIT;Nitzschia+Hantzschia;P
ODO;Odontella;C
PARs;Paralia;C
PLE;Pleurosigma+Gyrosigma;P
PSE;Pseudo-nitzschia;P
RHI;Rhizosolenia+Neocalyptrella;C
SKE;Skeletonema;C
THP;Thalassiosira+Porosira;C
THL;Thalassionema+Lioloma;P
ALE;Alexandrium;D
CEI;Ceratium+Neoceratium;D
DIP;Diplopsalis+Diplopelta+Diplopsalopsis+Preperidinium+Oblea;D
GON;Gonyaulax;D
GYM;Gymnodinium+Gyrodinium;D
HET;Heterocapsa;D
KAT;Katodinium;D
NOC;Noctiluca;D
POL;Polykrikos;D
PRO;Prorocentrum;D
PRP;Protoperidinium+Archaeperidinium+Peridinium;D
SCR;Scrippsiella+Ensiculifera+Pentapharsodinium+Bysmatrum;D
PHA;Phaeocystis;O
DIC;Dictyocha;O
