ID;Name;Altitude;Type;Plou;Latitude;Longitude
56009001;BELLE ILE-LE TALUT;0034 m;0;O;47.294;-3.218
56185001;LORIENT-LANN BIHOUE;0045 m;0;O;47.762;-3.435
56017003;BIGNAN;0112 m;1;O;47.884;-2.728
56165003;PLOERMEL;0065 m;1;O;47.950;-2.397
56243001;VANNES-SENE;0003 m;1;O;47.604;-2.714
56004001;ARZAL;0026 m;2;O;47.512;-2.382
56007001;AURAY;0026 m;2;O;47.659;-2.971
56240003;SARZEAU SA;0037 m;2;O;47.511;-2.797
56144001;NAIZIN-INRA;0132 m;3;O;48.005;-2.816
56221001;ST-JACUT-LES-PINS;0052 m;4;O;47.683;-2.212
17323001;CHASSIRON;0011 m;0;O;46.046;-1.411
17300009;LA ROCHELLE-ILE DE RE;0020 m;0;O;46.178;-1.193
17268002;NUAILLE SUR BOUTONNE;0036 m;1;O;46.019;-0.406
17306004;ROYAN-AERODROME;0024 m;1;O;45.632;-0.969
17415003;SAINTES;0038 m;1;O;45.761;-0.652
17339002;ST GERMAIN DE LUSIGNAN;0071 m;1;O;45.458;-0.409
17093002;CHATEAU DOLERON;0003 m;2;O;45.862;-1.204
17300001;LA ROCHELLE;0004 m;2;O;46.152;-1.159
17308001;ST AGNANT;0018 m;2;O;45.888;-0.984
17353001;ST-LAURENT PREE-INRA;0003 m;3;O;45.988;-1.027
44020001;NANTES-BOUGUENAIS;0026 m;0;O;47.15;-1.608
44103001;ST NAZAIRE-MONTOIR;0003 m;0;O;47.313;-2.154
44110002;NORT-SUR-ERDRE;0013 m;1;O;47.425;-1.513
44069002;GUERANDE;0004 m;2;O;47.292;-2.430
85113001;L ILE D YEU;0032 m;0;O;46.693;-2.330
85191003;LA ROCHE SUR YON;0090 m;0;O;46.705;-1.381
85060002;CHATEAU-DOLONNE;0027 m;1;O;46.477;-1.725
85092004;FONTENAY;0020 m;1;O;46.448;-0.779
85172001;LE PERRIER;0002 m;1;O;46.826;-1.999
85163001;NOIRMOUTIER EN;0003 m;1;O;47.004;-2.257
85152001;LA MOTHE ACHARD;0058 m;2;O;46.620;-1.633
85169002;PALLUAU;0051 m;2;O;46.808;-1.597
85216001;SAINTE GEMME LA;0003 m;2;O;46.440;-1.121
13054001;MARIGNANE;0009 m;0;O;43.437;5.216
13001009;AIX EN PROVENCE;0173 m;1;O;43.529;5.424
13004003;ARLES;0001 m;1;O;43.51;4.693
13103004;SALON-DE-PROVENCE-INRA;0062 m;5;O;43.642;4.993
83031001;LE LUC;0080 m;0;O;43.383;6.386
83019002;BORMES LES MIMOSAS;0088 m;1;O;43.195;6.379
83061001;FREJUS;0007 m;1;O;43.423;6.738
83137001;TOULON;0023 m;1;O;43.103;5.931
83150002;VINON SUR VERDON;0271 m;1;O;43.734;5.782
83069003;ILE DU LEVANT;0118 m;2;O;43.032;6.469
