Lieu_id;Lieu_mnemonique;Lieu_libel;Lieu_corres
12025001;St Cast;022-P-002;1
12025037;les Hébihens;022-P-018;1
14029001;Bréhat;027-P-001;2
14029050;Loguivy;027-P-028;2
16033001;Pen al Lann;034-P-001;3
16033058;St Pol large;033-P-029;3
18038025;Lanvéoc;039-P-083;4
18038012;Lanvéoc large;039-P-072;4
19039001;Kervel;040-P-001;5
19039017;Kervel large;040-P-017;5
21041003;Men Du;043-P-003;6
21043016;Concarneau large;047-P-016;6
28061004;Bois de la Chaise (a);071-P-004;7
28061064;Bois de la Chaise large;071-P-061;7
38094002;Antoine;109-P-002;8
38094108;Anse de Carteau 2;109-P-027;8
3006001;At so;006-P-001;10
2003002;Point 1 Boulogne;002-P-007;11
1001022;Point 1 Dunkerque;001-P-015;12
31068003;Le Cornard;079-P-026;13
30065002;LEperon (terre);076-P-002;14
27059001;Le Croisic (a);068-P-001;15
27057005;Ouest Loscolo;063-P-002;16
25049001;Men er Roue;055-P-001;17
32070002;Boyard;080-P-008;18
40100001;Lazaret (a);112-P-001;19
37087001;Bouzigues (a);104-P-001;20
36083002;Parc Leucate 2;097-P-002;21
36081002;Barcares;095-P-002;22
32071002;Auger;082-P-001;23
41109006;Villefranche;114-P-058;24
3006022;Bif;007-P-008;25
2003033;Point 3 SRN Boulogne;002-P-030;26
2003032;Point 2 SRN Boulogne;002-P-029;27
1001023;Point 3 SRN Dunkerque;001-P-016;28
1001024;Point 4 SRN Dunkerque;001-P-017;29
3006019;SRN Somme mer 1;006-P-006;30
3006020;SRN Somme mer 2;006-P-007;31
