Men er Roue;Loscolo;Croisic;LEperon ;Cornard;Auger;Antoine;Lazaret
CHA;CHA;CHA;AST;CHA;CHA;CHA;CHA
COS;COS;DIT;CHA;DIT;COS;NAV;DAC
DIT;DIT;GUI;COS;GUI;DIT;NIT;LEP
GUI;GUI;LEP;DIT;LEP;GUI;PLE;PLE
LEP;LEP;NIT;GUI;NIT;LEP;PSE;PSE
NIT;NIT;PLE;LEP;PLE;NIT;SKE;SKE
PLE;PLE;PSE;NIT;PSE;PLE;THP;THL
PSE;PSE;RHI;PLE;RHI;PSE;GYM;PRO
RHI;RHI;SKE;PSE;SKE;RHI;PRO;PRP
SKE;SKE;THP;SKE;THP;SKE;PRP;SCR
THP;THP;THL;THP;PRO;THP;SCR;NEI
THL;THL;GYM;PRO;PRP;GYM;NEI;
GYM;GYM;PRO;PRP;NEI;PRO;;
PRO;PRO;PRP;NEI;;PRP;;
PRP;PRP;SCR;;;NEI;;
NEI;NEI;NEI;;;;;
